house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
2 BHK Apartment,"1,100 sq ft",Vesu,Surat,21.14222908,72.7721405,20000,INR,2,Posted a month ago,"The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 gas connection. It also has 1 ac and 1 bed. Its main door is facing southwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,276 sq ft",Adajan,Surat,21.20861816,72.76992035,25000,INR,2,Posted 11 days ago,"It’s a 2 bhk multistorey apartment situated in JT Stuti Highland, Adajan. It has area of 1276 sqft and is available at a rent of Rs. 25,000. It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 dining table. It also has 1 gas connection, 1 ac and 1 bed. It has club house. Other amenities include lift available and power backup. It is northwest facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. ",No Deposit,Furnished
3 BHK Apartment,"3,000 sq ft",Adajan,Surat,21.21098518,72.79457855,40000,INR,4,Posted 8 days ago,"It’s a 3 bhk multistorey apartment situated in Esteem Corporation Exclusive, Adajan. It is an unfurnished property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment,"1,300 sq ft",Palanpur,Surat,21.2108593,72.77133179,25000,INR,2,Posted a month ago,"It’s a 2 bhk multistorey apartment situated in Palanpur. It has area of 1300 sqft and is available at a rent of Rs. 25,000. The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 sofa. It also has 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is situated in the proximity of all the important facilities. ",No Deposit,Furnished
2 BHK Apartment,"1,160 sq ft",Palanpur,Surat,21.21299934,72.76454926,16000,INR,2,Posted 2 days ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in Ganesh Enterprise Surat Prestige Revanta, one of the most prestigious projects of Palanpur. It has area of 1160 sqft and is available at a rent of Rs. 16,000. It is a semi-furnished property. It is a 4 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,610 sq ft",Palanpur,Surat,21.2108593,72.77133179,20930,INR,3,Posted 10 days ago,"It’s a 3 bhk multistorey apartment situated in Palanpur, Surat. It has an area of 1610 sqft with a carpet area of 890 sqft . The property is available at a monthly rental of Rs. 22,000 . It is an unfurnished property. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",No Deposit,Unfurnished
1 BHK Apartment,450 sq ft,Palanpur,Surat,21.20696068,72.76704407,19000,INR,1,Posted 7 days ago,"It’s a 1 bhk multistorey apartment situated in Vinayak Corporation Palanpor Prestige Riona, Palanpur, Surat. It has a built-up area of 450 sqft and is available for rent at Rs. 19,000 per month . It is a furnished property. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 gas connection, 1 ac and 1 bed. Its main door is facing west direction. It is made in way to provide a comfortable living. It is well connected to the city areas. ",No Deposit,Furnished
2 BHK Apartment,"1,250 sq ft",Palanpur,Surat,21.20872688,72.77295685,23000,INR,2,Posted a month ago,"It’s a 2 bhk multistorey apartment situated in Rajhans Apple, Palanpur, Surat. It has a built-up area of 1250 sqft and is available for rent at Rs. 23,000 per month . It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has power backup as well as children's play area. The project also has gymnasium and lift available. Its main door is facing east direction. It is made in way to provide a comfortable living for the residents. ",No Deposit,Furnished
3 BHK Apartment,"1,690 sq ft",Althan,Surat,21.15457153,72.80691528,24000,INR,3,Posted 6 days ago,"A 3 bhk property is available for rent in Althan, Surat. It has an area of 1690 sqft . The property is available at a monthly rental of Rs. 24,000 . It is an unfurnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Unfurnished
4 BHK Apartment,"3,000 sq ft",Vesu,Surat,21.14222908,72.7721405,74999,INR,4,Posted a month ago,"It has an area of 3000 sqft with a carpet area of 1952 sqft . The property is available at a monthly rental of Rs. 74,999 . The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,330 sq ft",Adajan Gam,Surat,21.19560623,72.79651642,21000,INR,2,Posted 14 days ago,"A spacious 2 bhk multistorey apartment is available for rental in Adajan Gam, Surat. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 dining table, 1 gas connection, 1 ac and 1 bed. It is facing east direction. It is a 3 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Semi-Furnished
4 BHK Apartment,"3,400 sq ft",Athwa,Surat,21.16641045,72.79264832,56000,INR,3,Posted a month ago,"A spacious 4 bhk multistorey apartment is available for rental in Athwa, Surat. It has a built-up area of 3400 sqft and is available for rent at Rs. 56,000 per month . It is a furnished property. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. Its main door is facing southwest direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Furnished
5 BHK Villa,"4,500 sq ft",Piplod,Surat,21.15752029,72.77547455,120000,INR,4,Posted 2 days ago,It’s a 5 bhk villa situated in Piplod. It has area of 4500 sqft and is available at a rent of Rs. 1.20 lac. The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details.," 2,70,000",Unfurnished
3 BHK Apartment,"2,300 sq ft",Piplod,Surat,21.15752029,72.77547455,45000,INR,3,Posted 10 days ago,"A spacious 3 bhk multistorey apartment is available for rental in Piplod, Surat. It has area of 2300 sqft and is available at a rent of Rs. 45,000. The house is furnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,400 sq ft",Vesu,Surat,21.13826752,72.76320648,34000,INR,2,Posted a month ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in Happy Home Group Surat Nandini III, one of the most prestigious projects of Vesu. It has a built-up area of 1400 sqft and is available for rent at Rs. 34,000 per month . The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 gas connection, 1 ac and 1 bed. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Furnished
3 BHK Apartment,"1,800 sq ft",Pal,Surat,21.18495941,72.7760849,30000,INR,3,Posted 22 days ago,"It’s a 3 bhk multistorey apartment situated in Pal. It has area of 1800 sqft and is available at a rent of Rs. 30,000. The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 dining table, 1 gas connection, 1 ac and 1 bed. This residential property is ready-to-move-in. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,425 sq ft",Adajan,Surat,21.20518875,72.80666351,23000,INR,3,Posted 8 days ago,"It’s a 2 bhk multistorey apartment situated in Adajan, Surat. It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",No Deposit,Unfurnished
1 BHK Apartment,"1,500 sq ft",Adajan,Surat,21.20861816,72.76992035,25000,INR,2,Posted a month ago,"A spacious 1 bhk multistorey apartment is available for rental in JT Stuti Highland, Adajan, Surat. It has an area of 1500 sqft with a carpet area of 1200 sqft . The property is available at a monthly rental of Rs. 25,000 . It is a furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,208 sq ft",Palanpur,Surat,21.2216568,72.78271484,17000,INR,2,Posted 2 days ago,"It’s a 2 bhk multistorey apartment situated in Creative Infra Surat Anand Avenue, Palanpur. It has area of 1208 sqft and is available at a rent of Rs. 17,000. The house is unfurnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment,"1,210 sq ft",Jahangirpura,Surat,21.24930954,72.78524017,15000,INR,2,Posted a month ago,"This spacious 2 bhk multistorey apartment is available for rental and is located in Sangini Group Sakar, one of the most prestigious projects of Jahangirpura. It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Unfurnished
2 BHK Apartment,810 sq ft,Palanpur,Surat,21.2108593,72.77133179,16000,INR,2,Posted 4 days ago,"It has an area of 810 sqft . The property is available at a monthly rental of Rs. 16,000 . The house is unfurnished. Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,750 sq ft",Athwa,Surat,21.14606667,72.77603149,27000,INR,3,Posted a month ago,"A spacious 3 bhk multistorey apartment is available for rental in Shubh Infra Enclave, Athwa, Surat. The house is semi-furnished. It has club_house as well as intercom. The project also has lift available, power backup, children's play area and swimming pool. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,250 sq ft",Bhimrad,Surat,21.13181686,72.79273224,17000,INR,2,Posted 6 days ago,"It has a built-up area of 1250 sqft and is available for rent at Rs. 17,000 per month . It is an unfurnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Unfurnished
6 BHK Apartment,"7,200 sq ft",Althan,Surat,21.14901352,72.79228973,121000,INR,6,Posted a month ago,"It’s a 6 bhk multistorey apartment situated in Happy Home Group Surat Capital Greens, Althan, Surat. It has area of 7200 sqft and is available at a rent of Rs. 1.21 lac. It is an unfurnished property. It is southwest facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",No Deposit,Unfurnished
2 BHK Apartment,"1,200 sq ft",Adajan,Surat,21.2003746,72.77734375,14000,INR,2,Posted 18 days ago,"It’s a 2 bhk multistorey apartment situated in Twin Enterprise Tower, Adajan. It has an area of 1200 sqft . The property is available at a monthly rental of Rs. 14,000 . Its main door is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",No Deposit,Unfurnished
3 BHK Apartment,"2,260 sq ft",Abhva,Surat,21.12553215,72.77836609,55000,INR,3,Posted 3 days ago,"A spacious 3 bhk multistorey apartment is available for rental in Rajhans Synfonia, Abhva, Surat. It has a built-up area of 2260 sqft and is available for rent at Rs. 55,000 per month . It is a 3 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. "," 1,65,000",Furnished
2 BHK Apartment,"1,300 sq ft",Vesu,Surat,21.14222908,72.7721405,25000,INR,2,Posted 10 days ago,"It has an area of 1300 sqft with a carpet area of 900 sqft . The property is available at a monthly rental of Rs. 25,000 . It is a furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Furnished
2 BHK Apartment,"1,415 sq ft",Bhimrad,Surat,21.13121605,72.80198669,18000,INR,2,Posted a month ago,"It’s a 2 bhk multistorey apartment situated in Happy Home Group Surat Nest Orchid, Bhimrad. It has area of 1415 sqft and is available at a rent of Rs. 18,000. The house is unfurnished. It has power backup. Other amenities include lift available, intercom, children's play area, club house, sports facility and gymnasium. It is made in way to provide a comfortable living. ",No Deposit,Unfurnished
