house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
2 BHK Apartment,801 sq ft,Sodepur,Kolkata,22.7019558,88.38825989,8500,INR,2,Posted 2 days ago,"Itâs a 2 bhk multistorey apartment situated in Sodepur, Kolkata. It has area of 801 sqft and is available at a rent of Rs. 8,500. It is an unfurnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",No Deposit,Unfurnished
2 BHK Apartment,"1,050 sq ft",New Town,Kolkata,22.57851791,88.49215698,19000,INR,2,Posted 3 days ago,"It has an area of 1050 sqft with a carpet area of 850 sqft . The property is available at a monthly rental of Rs. 19,000 . It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Independent Floor,"1,000 sq ft",New Town,Kolkata,22.57775879,88.46337128,17000,INR,3,Posted 2 days ago,"A spacious 3 bhk builder floor is available for rental in New Town, Kolkata. It has a built-up area of 1000 sqft and is available for rent at Rs. 17,000 per month . It is an unfurnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Unfurnished
3 BHK Apartment,"1,200 sq ft",Kabardanga South Kolkata,Kolkata,22.46340942,88.33338165,18600,INR,2,Posted 2 days ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Kabardanga South Kolkata. It has an area of 1200 sqft with a carpet area of 1150 sqft . The property is available at a monthly rental of Rs. 18,600 . It is a furnished property. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Furnished
2 BHK Apartment,900 sq ft,Hussainpur,Kolkata,22.5035553,88.40609741,14000,INR,2,Posted 2 days ago,"Itâs a 2 bhk multistorey apartment situated in Hussainpur. It has area of 900 sqft and is available at a rent of Rs. 14,000. It is an unfurnished property. It is a 6 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Unfurnished
2 BHK Apartment,900 sq ft,New Town,Kolkata,30.64018822,76.82118988,12000,INR,2,Posted 4 days ago,"The property is near to main market and the flat is properly maintained and neat and clean. More About This Property Your search for a spacious home at affordable rent in Zirakpur ends here. This 2 BHK Apartment in Zirakpur is all that you have been looking for! Designed as North-East facing, the unit is compliant with vaastu principles. The 2 BHK property offers a serene environment with excellent views of the city. This Apartment is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is semi furnished Apartment. This unit is built on floor 1 out of a total 2 floors. The Apartment has been thoughtfully designed to meet a family?s space needs, with 2 bedrooms. It includes 2 bathroom. There are 2 balcony that lets you enjoy scenic views. The built-up area of this Apartment is 900 square_feet. The carpet area is 750 square_feet. Residents need to pay a monthly rent of Rs 12000. The security deposit payable is Rs 12000. Project Highlights The Apartment is constructed inside project Sunshine Enclave. Families have access to various amenities such as Garden, Clubhouse, Community hall. The Apartment is in proximity to major landmarks in Zirakpur. Families of this Apartment have easy access to healthcare centres when they need medical assistance, especially in emergencies",No Deposit,Semi-Furnished
2 BHK Apartment,950 sq ft,Saha Para,Kolkata,22.45936203,88.39842224,11000,INR,2,Posted 4 days ago,"Itâs a 2 bhk multistorey apartment situated in Saha Para. It has area of 950 sqft and is available at a rent of Rs. 11,000. The house is unfurnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ","22,000",Unfurnished
2 BHK Apartment,809 sq ft,Rajarhat,Kolkata,22.62230682,88.44898224,20000,INR,2,Posted 4 days ago,"A 2 bhk property is available for rental in Ambuja Neotia Ujjwala The Condoville, Rajarhat, Kolkata. It is a furnished property. It is a 17 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact for more details. ","40,000",Furnished
3 BHK Apartment,"1,550 sq ft",Ballygunge,Kolkata,21.14222908,72.7721405,42000,INR,3,Posted a month ago,"It has a built-up area of 1550 sqft and is available for rent at Rs. 42,000 per month . It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has gated community. Other amenities include power backup and lift available. It is facing southwest direction. It is a 11 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",No Deposit,Furnished
2 BHK Apartment,950 sq ft,Mukundapur,Kolkata,22.49269295,88.40969849,22000,INR,1,Posted 4 days ago,"A 2 bhk property is available for rent in Mukundapur, Kolkata. It has an area of 950 sqft with a carpet area of 712 sqft . The property is available at a monthly rental of Rs. 22,000 . It is a furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact for more details. ","44,000",Furnished
4 BHK Independent House,"7,000 sq ft",Joka,Kolkata,28.57252502,77.37073517,350000,INR,5,Posted 2 days ago,"Itâs a 4 bhk independent house situated in Independent House Independent House, Joka. It has a built-up area of 7000 sqft and is available for rent at Rs. 3.50 lac per month . It is a furnished property. It is a 14 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",No Deposit,Furnished
3 BHK Independent Floor,"2,750 sq ft",Sector 22,Kolkata,28.50530052,77.0643692,40000,INR,3,Posted 19 days ago,"A 3 bhk property is available for rent in Sector 22, Kolkata. It has a built-up area of 2750 sqft and is available for rent at Rs. 40,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,850 sq ft,Rajarhat,Kolkata,22.63172913,88.48828888,6500,INR,2,Posted 3 days ago,"Itâs good location in this property itâs flat itâs in Good used flat with car parking not available also flat is Newly painted Near by all facilities available Bank Bazaar ATM school hospital medical center and shop available main road just 1 minutes working distance Main Bazaar just 2 minutes Auto bus taxi Ola Uber all available home delivery service available Airport just 6 km chinarpark just 4 km city center 2 just 3 km distance section 5 just 10 km distance itâs flat is Ground floor flat bike parking available  More About This Property A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Kolkata. It is a 3 BHK Apartment situated in Reekjoyoni at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is unfurnished. The 3 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. The property is East facing, built as per vaastu principles. This 3 BHK unit is built on floor 0 out of a total 4 floors. There are 3 bedrooms and 2 bathroom. There are 1 balcony, giving majestic views of the outside world. The built-up area of this property is 850 square_feet. The carpet area of this Apartment is 800 square_feet. The monthly rent that has to be paid is Rs 6500. The security deposit payable by the residents is Rs 6500. Project Highlights There is lift facility inside this property. Families living in this Apartment will find several hospitals in the neighbourhood like Lotus Hospital, Dr.Lal Pathlabs Rajarhat Health Care, Bhattacharyya Orthopaedics & Related Research Centre (P) Ltd.. They will also find shops and utility stores within easy reach",No Deposit,Unfurnished
3 BHK Apartment,"3,200 sq ft",Mukundapur,Kolkata,22.49303055,88.40343475,82000,INR,4,Posted 2 days ago,Well designed 3 bhk multistorey apartment is available at a prime location in Ambuja Neotia Utalika Luxury. The house is semi-furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas.,No Deposit,Semi-Furnished
