house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
3 BHK Apartment,"1,400 sq ft",Devendra Nagar,Chennai,21.25814629,81.64671326,22500,INR,5,Posted 6 days ago,"This spacious 3 bhk multistorey apartment is available for rental and is located in the heart of Devendra Nagar. It has area of 1400 sqft and is available at a rent of Rs. 22,500. The house is semi-furnished. This residential property is ready-to-move-in. Kindly call us for details. ",No Deposit,Semi-Furnished
3 BHK Independent House,"5,000 sq ft",Uthandi,Chennai,12.8675499,80.24504089,130000,INR,3,Posted 2 days ago,"It’s a 3 bhk independent house situated in Uthandi, Chennai. It has an area of 5000 sqft . The property is available at a monthly rental of Rs. 1.30 lac . The house is furnished. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Furnished
2 BHK Apartment,840 sq ft,Mogappair,Chennai,13.078372,80.1740799,18000,INR,2,Posted 3 days ago,"A spacious 2 bhk multistorey apartment is available for rental in Colorhomes Developers Color Delight, Mogappair, Chennai. It has area of 840 sqft and is available at a rent of Rs. 18,000. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,"1,550 sq ft",Madipakkam,Chennai,12.96124458,80.21091461,16500,INR,2,Posted a year ago,"It’s a 2 bhk multistorey apartment situated in Madipakkam, Chennai. It has area of 1550 sqft and is available at a rent of Rs. 16,500. The house is semi-furnished. It is facing east direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,660 sq ft",Dhibighat,Chennai,23.34177589,85.31419373,15000,INR,3,Posted a month ago,"Here is an excellent 3 BHK Apartment available for rent in Ranchi. Surrounded by natural greens and equipped with numerous amenities, this rented 3 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Doranda that enjoys good connectivity to major landmarks of the city. The Apartment is on the 1 floor. There is a total of 4 floors. The Apartment is designed as per modern construction standards. It has 3 bedrooms and 3 bathroom. The 3 BHK unit is thoughtfully designed to meet the space needs of a modern family and allows ample sunlight and fresh air. There are 2 balcony in this unit where residents can spend a relaxed evening and enjoy excellent views of the surroundings. This Apartment has 1660 square feet of built-up area. It has a carpet area of 1560 square feet. The monthly rent payable is Rs 15000, and the security deposit to be paid is Rs 15000. Project Highlights It is a part of the project Rameshwaram Gurudas Bhawan in Doranda. Several lifestyle amenities have been provided for the residents of this Apartment to ensure a sophisticated living. The locality Doranda provides comfortable social infrastructure",No Deposit,Semi-Furnished
2 BHK Apartment,600 sq ft,Valasaravakkam,Chennai,13.04750061,80.17837524,13000,INR,1,Posted 2 days ago,"A spacious 2 bhk multistorey apartment is available for rental in Valasaravakkam, Chennai. It has a built-up area of 600 sqft and is available for rent at Rs. 13,000 per month . The house is unfurnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact for more details. ",No Deposit,Unfurnished
3 BHK Apartment,"2,200 sq ft",Alwarpet,Chennai,13.03603077,80.25332642,120000,INR,3,Posted 4 days ago,"It’s a 3 bhk multistorey apartment situated in Alwarpet. It has a built-up area of 2200 sqft and is available for rent at Rs. 1.20 lac per month . It is a semi-furnished property. Its main door is facing west direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Villa,750 sq ft,Mudichur,Chennai,12.91146946,80.07176971,10000,INR,2,Posted 5 days ago,"It’s a 2 bhk villa situated in Mudichur. It has a built-up area of 750 sqft and is available for rent at Rs. 10,000 per month . It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Furnished
4 BHK Independent House,"4,000 sq ft",Kottivakkam,Chennai,12.9711256,80.25946045,90000,INR,4,Posted 4 days ago,"It’s a 4 bhk independent house situated in Kottivakkam. It has an area of 4000 sqft . The property is available at a monthly rental of Rs. 90,000 . It is northeast facing property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Independent House,"1,000 sq ft",Kesavapuram,Chennai,13.28515244,80.2467804,12000,INR,2,Posted 3 days ago,"A spacious 2 bhk independent house is available for rental in Kesavapuram, Chennai. It has an area of 1000 sqft . The property is available at a monthly rental of Rs. 12,000 . It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact us for more details. ",No Deposit,Unfurnished
1 BHK Apartment,521 sq ft,Gowrivakkam,Chennai,12.95152855,77.71124268,15000,INR,1,Posted 2 days ago,"A spacious 1 bhk multistorey apartment is available for rental in Ruby Builders And Promoters Homes, Gowrivakkam, Chennai. It has an area of 521 sqft with a carpet area of 497 sqft . The property is available at a monthly rental of Rs. 15,000 . The house is semi-furnished. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. Kindly call us for details. ","50,000",Semi-Furnished
