house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,verificationDate,description,SecurityDeposit,Status
3 BHK Apartment,"1,050 sq ft",Andheri West,Mumbai,19.14553833,72.822258,90000,INR,3,Posted a month ago,"Itâs a 3 bhk multistorey apartment situated in Versova Neptune Apartment, Andheri West. It has area of 1050 sqft and is available at a rent of Rs. 90,000. It is north facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment,595 sq ft,Kalyan West,Mumbai,19.25814056,73.13052368,11000,INR,1,Posted a month ago,"It has a built-up area of 595 sqft and is available for rent at Rs. 11,000 per month . It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,750 sq ft,Bhandup West,Mumbai,19.14644241,72.93894196,40000,INR,2,Posted a month ago,"It is a semi-furnished property. Furnishings include 1 sofa, 1 sofa, 1 gas connection and 1 bed. It is facing north direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ",No Deposit,Semi-Furnished
2 BHK Apartment,850 sq ft,Bandra West,Mumbai,19.13842583,72.82830811,65000,INR,2,Posted a month ago,"A 2 bhk property is available for rental in Victoria Apartments, Bandra West, Mumbai. It has a built-up area of 850 sqft and is available for rent at Rs. 65,000 per month . It is an unfurnished property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ",No Deposit,Unfurnished
3 BHK Apartment,"1,005 sq ft",Borivali East,Mumbai,19.22160912,72.8599472,55000,INR,3,Posted a month ago,"A 3 bhk property is available for rental in Pavan Sheth And Associates Park Residency, Borivali East, Mumbai. It has an area of 1005 sqft with a carpet area of 750 sqft . The property is available at a monthly rental of Rs. 55,000 . It is a semi-furnished property. It is north facing property. It is situated in the proximity of all the important facilities. ",No Deposit,Semi-Furnished
1 BHK Apartment,650 sq ft,Palghar,Mumbai,19.65348625,72.71968842,4500,INR,2,Posted 2 months ago,"It has a built-up area of 650 sqft and is available for rent at Rs. 4,500 per month . It is a semi-furnished property. It is west facing property. It is a 4 year old ready-to-move-in property. It is well connected to the city areas. ",No Deposit,Semi-Furnished
3 BHK Apartment,"1,800 sq ft",Worli,Mumbai,19.00309181,72.82584381,275000,INR,3,Posted a month ago,"A 3 bhk property is available for rental in Enpar Lotus 101 Worli Residences, Worli, Mumbai. It has a built-up area of 1800 sqft and is available for rent at Rs. 2.75 lac per month . It is a semi-furnished property. It has cctv as well as children's play area. The project also has club house, lift available, community hall, power backup, sports facility, gymnasium, swimming pool and intercom. It is facing southwest direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ",No Deposit,Semi-Furnished
1 BHK Apartment,630 sq ft,Kanjurmarg,Mumbai,19.12845993,72.92731476,34000,INR,2,Posted a month ago,"A 1 bhk property is available for rental in Damji Shamji Shah Mahavir Trinkets, Kanjurmarg, Mumbai. It has area of 630 sqft and is available at a rent of Rs. 34,000. It is an unfurnished property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",No Deposit,Unfurnished
1 BHK Apartment,580 sq ft,Sanpada,Mumbai,19.06231308,73.00275421,25000,INR,1,Posted a month ago,"Itâs a 1 bhk multistorey apartment situated in Swaraj Homes Simran Palace, Sanpada, Mumbai. It has an area of 580 sqft with a carpet area of 410 sqft . The property is available at a monthly rental of Rs. 25,000 . It is an unfurnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",No Deposit,Unfurnished
1 BHK Independent Floor,500 sq ft,Mira Road East,Mumbai,21.23942184,81.66488647,7500,INR,1,Posted a month ago,"It has area of 500 sqft and is available at a rent of Rs. 7,500. It is north facing property. It is a 4 year old ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Kindly call us for details. ",No Deposit,Unfurnished
3 BHK Apartment,"2,000 sq ft",Jogeshwari East,Mumbai,19.13976288,72.86218262,145000,INR,3,Posted a month ago,Itâs a 3 bhk multistorey apartment situated in Jogeshwari East. It has a built-up area of 2000 sqft and is available for rent at Rs. 1.45 lac per month . It is a semi-furnished property. It is a ready-to-move-in property. The site is in close proximity to various civic utilities.,No Deposit,Semi-Furnished
3 BHK Villa,"2,800 sq ft",Powai,Mumbai,19.12285423,72.91291046,145000,INR,2,Posted a month ago,"This spacious 3 bhk villa is available for rental and is located in GHP Group Powai Vihar Complex, one of the most prestigious projects of Powai. It has a built-up area of 2800 sqft and is available for rent at Rs. 1.45 lac per month . It has power backup as well as club house. The project also has gymnasium and swimming pool. It is northwest facing property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",No Deposit,Unfurnished
2 BHK Apartment,"1,045 sq ft",Bhayandar East,Mumbai,19.30729294,72.86174774,25000,INR,1,Posted 2 months ago,"It has area of 1045 sqft and is available at a rent of Rs. 25,000. The house is semi-furnished. It is west facing property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ",No Deposit,Semi-Furnished
4 BHK Apartment,"1,900 sq ft",Goregaon West,Mumbai,19.17330933,72.84157562,175000,INR,4,Posted 2 months ago,"It is a furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",No Deposit,Furnished
3 BHK Apartment,"1,400 sq ft",Ulwe,Mumbai,18.98021317,73.02484894,35000,INR,3,Posted 2 months ago,"Well designed 3 bhk multistorey apartment is available at a prime location in Ulwe. It has area of 1400 sqft and is available at a rent of Rs. 35,000. The house is semi-furnished. It is west facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",No Deposit,Semi-Furnished
